legal_name,regulator_code,regulator,jurisdiction,license_number,license_type,status,license_date,approved_domains,forex_broker,classification_confidence,classification_reason,evidence_url,evidence_status,needs_review,source_url,last_checked
BKS MARKETS PTY LTD,ASIC,Australian Securities and Investments Commission,Australia,292464,Australian Financial Services Licence,ACTIVE,17/11/2005,,YES,MEDIUM,AFS licence authorises retail FX issuance/market-making and the legal name indicates trading activity,https://data.gov.au/data/dataset/asic-afs-licensee,OFFICIAL_DATASET,NO,https://data.gov.au/data/dataset/asic-afs-licensee,2026-08-18T07:22:18+00:00
BLUE STAMP COMPANY PTY LTD,ASIC,Australian Securities and Investments Commission,Australia,495417,Australian Financial Services Licence,ACTIVE,26/05/2017,,YES,LOW,AFS licence authorises retail FX issuance/market-making; website/product validation still required,https://data.gov.au/data/dataset/asic-afs-licensee,OFFICIAL_DATASET,YES,https://data.gov.au/data/dataset/asic-afs-licensee,2026-08-18T07:22:18+00:00
BLUEBERRY AUSTRALIA PTY LTD,ASIC,Australian Securities and Investments Commission,Australia,535887,Australian Financial Services Licence,ACTIVE,27/05/2024,,YES,LOW,AFS licence authorises retail FX issuance/market-making; website/product validation still required,https://data.gov.au/data/dataset/asic-afs-licensee,OFFICIAL_DATASET,YES,https://data.gov.au/data/dataset/asic-afs-licensee,2026-08-18T07:22:18+00:00
BLUEBERRY PRIME PARTNERS PTY LTD,ASIC,Australian Securities and Investments Commission,Australia,364411,Australian Financial Services Licence,ACTIVE,10/11/2010,,YES,LOW,AFS licence authorises retail FX issuance/market-making; website/product validation still required,https://data.gov.au/data/dataset/asic-afs-licensee,OFFICIAL_DATASET,YES,https://data.gov.au/data/dataset/asic-afs-licensee,2026-08-18T07:22:18+00:00
BNK BANKING CORPORATION LIMITED,ASIC,Australian Securities and Investments Commission,Australia,246884,Australian Financial Services Licence,ACTIVE,01/03/2004,,YES,LOW,AFS licence authorises retail FX issuance/market-making; website/product validation still required,https://data.gov.au/data/dataset/asic-afs-licensee,OFFICIAL_DATASET,YES,https://data.gov.au/data/dataset/asic-afs-licensee,2026-08-18T07:22:18+00:00
BNP PARIBAS,ASIC,Australian Securities and Investments Commission,Australia,238043,Australian Financial Services Licence,ACTIVE,01/01/2004,,YES,LOW,AFS licence authorises retail FX issuance/market-making; website/product validation still required,https://data.gov.au/data/dataset/asic-afs-licensee,OFFICIAL_DATASET,YES,https://data.gov.au/data/dataset/asic-afs-licensee,2026-08-18T07:22:18+00:00
BNP PARIBAS FUND SERVICES AUSTRALASIA PTY LTD,ASIC,Australian Securities and Investments Commission,Australia,241080,Australian Financial Services Licence,ACTIVE,18/02/2004,,YES,LOW,AFS licence authorises retail FX issuance/market-making; website/product validation still required,https://data.gov.au/data/dataset/asic-afs-licensee,OFFICIAL_DATASET,YES,https://data.gov.au/data/dataset/asic-afs-licensee,2026-08-18T07:22:18+00:00
BOND ADVISER PTY LIMITED,ASIC,Australian Securities and Investments Commission,Australia,456783,Australian Financial Services Licence,ACTIVE,12/06/2014,,YES,LOW,AFS licence authorises retail FX issuance/market-making; website/product validation still required,https://data.gov.au/data/dataset/asic-afs-licensee,OFFICIAL_DATASET,YES,https://data.gov.au/data/dataset/asic-afs-licensee,2026-08-18T07:22:18+00:00
BOND STREET CUSTODIANS LIMITED,ASIC,Australian Securities and Investments Commission,Australia,237489,Australian Financial Services Licence,ACTIVE,01/03/2004,,YES,LOW,AFS licence authorises retail FX issuance/market-making; website/product validation still required,https://data.gov.au/data/dataset/asic-afs-licensee,OFFICIAL_DATASET,YES,https://data.gov.au/data/dataset/asic-afs-licensee,2026-08-18T07:22:18+00:00
BRIDGES FINANCIAL SERVICES PTY LIMITED,ASIC,Australian Securities and Investments Commission,Australia,240837,Australian Financial Services Licence,ACTIVE,10/03/2004,,YES,LOW,AFS licence authorises retail FX issuance/market-making; website/product validation still required,https://data.gov.au/data/dataset/asic-afs-licensee,OFFICIAL_DATASET,YES,https://data.gov.au/data/dataset/asic-afs-licensee,2026-08-18T07:22:18+00:00
BROOKFIELD CAPITAL MANAGEMENT LIMITED,ASIC,Australian Securities and Investments Commission,Australia,223809,Australian Financial Services Licence,ACTIVE,07/10/2002,,YES,LOW,AFS licence authorises retail FX issuance/market-making; website/product validation still required,https://data.gov.au/data/dataset/asic-afs-licensee,OFFICIAL_DATASET,YES,https://data.gov.au/data/dataset/asic-afs-licensee,2026-08-18T07:22:18+00:00
BROOKFIELD MANAGEMENT EQUITY PLANS LIMITED,ASIC,Australian Securities and Investments Commission,Australia,241178,Australian Financial Services Licence,ACTIVE,17/02/2004,,YES,LOW,AFS licence authorises retail FX issuance/market-making; website/product validation still required,https://data.gov.au/data/dataset/asic-afs-licensee,OFFICIAL_DATASET,YES,https://data.gov.au/data/dataset/asic-afs-licensee,2026-08-18T07:22:18+00:00
BURRELL SECURITIES LIMITED,ASIC,Australian Securities and Investments Commission,Australia,381667,Australian Financial Services Licence,ACTIVE,20/01/2011,,YES,LOW,AFS licence authorises retail FX issuance/market-making; website/product validation still required,https://data.gov.au/data/dataset/asic-afs-licensee,OFFICIAL_DATASET,YES,https://data.gov.au/data/dataset/asic-afs-licensee,2026-08-18T07:22:18+00:00
BWP MANAGEMENT LIMITED,ASIC,Australian Securities and Investments Commission,Australia,247830,Australian Financial Services Licence,ACTIVE,10/03/2004,,YES,LOW,AFS licence authorises retail FX issuance/market-making; website/product validation still required,https://data.gov.au/data/dataset/asic-afs-licensee,OFFICIAL_DATASET,YES,https://data.gov.au/data/dataset/asic-afs-licensee,2026-08-18T07:22:18+00:00
CACHE (RE SERVICES) LTD,ASIC,Australian Securities and Investments Commission,Australia,494886,Australian Financial Services Licence,ACTIVE,20/11/2017,,YES,LOW,AFS licence authorises retail FX issuance/market-making; website/product validation still required,https://data.gov.au/data/dataset/asic-afs-licensee,OFFICIAL_DATASET,YES,https://data.gov.au/data/dataset/asic-afs-licensee,2026-08-18T07:22:18+00:00
CAMBRIDGE MERCANTILE (AUSTRALIA) PTY. LTD.,ASIC,Australian Securities and Investments Commission,Australia,351278,Australian Financial Services Licence,ACTIVE,06/07/2010,,YES,LOW,AFS licence authorises retail FX issuance/market-making; website/product validation still required,https://data.gov.au/data/dataset/asic-afs-licensee,OFFICIAL_DATASET,YES,https://data.gov.au/data/dataset/asic-afs-licensee,2026-08-18T07:22:18+00:00
CAMERON HARRISON PRIVATE PTY LTD,ASIC,Australian Securities and Investments Commission,Australia,412452,Australian Financial Services Licence,ACTIVE,09/01/2012,,YES,LOW,AFS licence authorises retail FX issuance/market-making; website/product validation still required,https://data.gov.au/data/dataset/asic-afs-licensee,OFFICIAL_DATASET,YES,https://data.gov.au/data/dataset/asic-afs-licensee,2026-08-18T07:22:18+00:00
CAPITAL COM AUSTRALIA PTY LTD,ASIC,Australian Securities and Investments Commission,Australia,513393,Australian Financial Services Licence,ACTIVE,16/06/2021,,YES,LOW,AFS licence authorises retail FX issuance/market-making; website/product validation still required,https://data.gov.au/data/dataset/asic-afs-licensee,OFFICIAL_DATASET,YES,https://data.gov.au/data/dataset/asic-afs-licensee,2026-08-18T07:22:18+00:00
CAPITAL DYNAMICS (AUSTRALIA) LIMITED,ASIC,Australian Securities and Investments Commission,Australia,326283,Australian Financial Services Licence,ACTIVE,22/12/2008,,YES,LOW,AFS licence authorises retail FX issuance/market-making; website/product validation still required,https://data.gov.au/data/dataset/asic-afs-licensee,OFFICIAL_DATASET,YES,https://data.gov.au/data/dataset/asic-afs-licensee,2026-08-18T07:22:18+00:00
CARNBREA & CO. LTD.,ASIC,Australian Securities and Investments Commission,Australia,233763,Australian Financial Services Licence,ACTIVE,01/10/2003,,YES,LOW,AFS licence authorises retail FX issuance/market-making; website/product validation still required,https://data.gov.au/data/dataset/asic-afs-licensee,OFFICIAL_DATASET,YES,https://data.gov.au/data/dataset/asic-afs-licensee,2026-08-18T07:22:18+00:00
