action,profile_slug,brand_name,source_value,canonical_value,license_number,evidence_url
NORMALIZED_REGULATOR_NAME,vaha,VAHA,FSCA,FSCA,,https://www.vahatrade.com
NORMALIZED_REGULATOR_NAME,wetrade,WeTrade,FSA Seychelles,FSA Seychelles,,https://www.wetrade.com/
NORMALIZED_REGULATOR_NAME,zifi-markets-ltd,ZIFI Markets Ltd,FSCA,FSCA,,https://www.zifimarketsltd.com/
NORMALIZED_REGULATOR_NAME,forexmart,ForexMart,CySEC,CySEC,,https://theforexmart.com/
NORMALIZED_REGULATOR_NAME,forexmart,ForexMart,FCA,FCA,,https://theforexmart.com/
NORMALIZED_REGULATOR_NAME,mcprime,MCPRIME,CySEC,CySEC,,https://www.mc-prime.com/en/
NORMALIZED_REGULATOR_NAME,mcprime,MCPRIME,FSC Mauritius,FSC Mauritius,,https://www.mc-prime.com/en/
NORMALIZED_REGULATOR_NAME,alvexo,Alvexo,CySEC,CySEC,,http://www.alvexo.com/
NORMALIZED_REGULATOR_NAME,alvexo,Alvexo,FSA Seychelles,FSA Seychelles,,http://www.alvexo.com/
NORMALIZED_REGULATOR_NAME,blackwell-global,BLACKWELL GLOBAL,SCB,SCB,,https://www.blackwellglobal.com/
NORMALIZED_REGULATOR_NAME,axion-trade,AXION TRADE,FSA Seychelles,FSA Seychelles,,https://axiontrade.net/en
NORMALIZED_REGULATOR_NAME,quantfury,QUANTFURY,SCB,SCB,,https://quantfury.com/
NORMALIZED_REGULATOR_NAME,quantfury,QUANTFURY,FCA,FCA,,https://quantfury.com/
NORMALIZED_REGULATOR_NAME,quantfury,QUANTFURY,FINRA,FINRA,,https://quantfury.com/
NORMALIZED_REGULATOR_NAME,infinox,INFINOX,SCB,SCB,,
NORMALIZED_REGULATOR_NAME,infinox,INFINOX,FCA,FCA,,
NORMALIZED_REGULATOR_NAME,st-global-markets,ST Global Markets,SCB,SCB,,https://stgmarkets.com/
NORMALIZED_REGULATOR_NAME,palm-capital,PALM CAPITAL,SCB,SCB,,https://www.palmglobalcapital.com/en
